lat,long,diameter
26.0,813.0,10.341765891652821
168.0,791.0,15.716503163191918
205.0,434.0,39.55769710788932
214.0,369.0,13.58748446131949
214.0,486.0,13.86575534383214
256.0,312.0,14.538148590038452
265.0,366.0,9.373021315815206
290.0,269.0,9.965574970333758
300.0,325.0,10.155412503859614
343.0,1008.0,18.47236308621676
354.0,620.0,16.273715780512877
377.0,908.0,6.180387232371033
390.0,67.0,9.574614729634384
399.0,196.0,10.881694613449236
450.0,467.0,64.15904806127334
439.0,211.0,11.227230955528665
447.0,98.0,10.998079684646791
463.0,792.0,5.970821321441846
471.0,260.0,11.340070282773887
475.0,104.0,9.507891862878783
515.0,265.0,9.0270333367641
524.0,361.0,14.138550439257221
524.0,392.0,12.047792665040703
548.0,458.0,36.319088209172165
544.0,239.0,11.340070282773887
620.0,457.0,10.341765891652821
621.0,913.0,14.228319915326999
628.0,559.0,22.111625566165472
635.0,384.0,10.217907939900583
663.0,58.0,61.576841135457045
671.0,471.0,10.217907939900583
711.0,344.0,10.881694613449236
714.0,566.0,18.01877032173579
746.0,567.0,12.914889870235298
751.0,930.0,11.507254783503184
782.0,658.0,22.820056393372074
810.0,661.0,10.940041919714261
837.0,336.0,60.8383707584705
823.0,608.0,11.67204486311899
857.0,505.0,9.574614729634384
862.0,430.0,10.217907939900583
867.0,483.0,9.640875829802336
896.0,288.0,11.396070970426017
939.0,336.0,9.507891862878783
955.0,999.0,34.997949111844065
963.0,438.0,19.64157789116634
1004.0,955.0,30.67448489476694
1004.0,995.0,41.151046092387084
1003.0,574.0,18.5067943613625
